er,fr
I would never have guessed that.,Je ne l'aurais jamais deviné.
Imagination affects every aspect of our lives.,L'imagination affecte tous les aspects de notre vie.
You'll forget about me someday.,Tu m'oublieras un jour.
You'll forget about me someday.,Vous m'oublierez un jour.
That is rather unexpected.,C'est assez inattendu.
I wonder how long it's going to take.,Je me demande combien de temps ça va prendre.
I can't live without a TV.,Je ne peux pas vivre sans télé.
I couldn't have done it without you. Thank you.,Je n'aurais pas pu le faire sans toi. Merci.
Nothing is achieved without effort.,Rien n'est accompli sans effort.
Many people drift through life without a purpose.,Beaucoup de gens vagabondent à travers la vie sans but.
Many people drift through life without a purpose.,"Beaucoup de gens se laissent aller dans la vie, sans but précis."
Life without love is just totally pointless.,Une vie sans amour n'a absolument aucun sens.
Let me know if I need to make any changes.,Faites-moi savoir si j'ai besoin de faire des changements.
I think exams are ruining education.,Je pense que les examens ruinent l'éducation.
We can't sleep because of the noise.,Nous ne pouvons pas dormir à cause du bruit.
Do you have a condom?,Est-ce que tu as un préservatif ?
Do you have a condom?,As-tu une capote ?
Do whatever he tells you.,Fais tout ce qu'il te dit.
I can walk to school in 10 minutes.,Je peux aller à l'école à pied en 10 minutes.
It took me more than two hours to translate a few pages of English.,Cela m'a pris plus de 2 heures pour traduire quelques pages d'anglais.
It is already eleven.,Il est déjà 11 heures.
It is already eleven.,Il est déjà onze heures.
May I talk to Ms. Brown?,Puis-je parler à Mlle Brown ?
"Yes, orange juice please, says Mike.","Oui, du jus d'orange s'il vous plait, dit Mike."
Ah! is an interjection.,Ah ! est une interjection.
What do you want?,Que veux-tu ?
What do you want?,De quoi as-tu besoin ?
The mandatory character of schooling is rarely analyzed in the multitude of works dedicated to the study of the various ways to develop within children the desire to learn.,Le caractère obligatoire de la scolarité est rarement analysé dans la multitude d'ouvrages consacrés à l'étude des divers moyens de développer chez les enfants un désir d'apprendre.
You suck dude! I have to tell you everything!,Tu crains mon vieux ! Je dois tout te dire !
I have a bone to pick with you.,On a un compte à régler.
Do you need me to give you some money?,As-tu besoin que je te donne de l'argent ?
Paris is the most beautiful city in the world.,Paris est la ville la plus belle du monde.
Paris is the most beautiful city in the world.,Paris est la plus belle ville du monde.
"Hey, I may have no money, but I still have my pride.","Eh, j'ai peut-être pas d'argent, mais j'ai toujours ma fierté."
I have a dream.,J'ai un rêve.
This is my friend Rachel. We went to high school together.,"C'est mon amie Rachel, nous sommes allées au lycée ensemble."
The cost of life increased drastically.,Le coût de la vie a augmenté radicalement.
The cost of life increased drastically.,Le coût de la vie a augmenté de manière drastique.
"All that which is invented, is true.",Tout ce qui est inventé est vrai.
"To be surprised, to wonder, is to begin to understand.","Se surprendre, s'étonner, c'est commencer à comprendre."
But the universe is infinite.,Mais l'univers est infini.
To be perfect she lacked just one defect.,Il ne lui manquait qu'un seul défaut pour être parfaite.
"And yet, the contrary is always true as well.","Et pourtant, le contraire aussi est toujours vrai."
"We don't see things as they are, but as we are.","Nous ne voyons pas les choses comme elles sont, mais comme nous sommes."
The world is a den of crazies.,Le monde est une cage à fous.
You opened up my eyes to what it's like when everything is right.,"Tu m'as ouvert les yeux sur ce que c'est, lorsque tout va bien."
You found me where no one else was looking.,Tu m'as trouvée où personne ne cherchait.
You're by my side; everything's fine now.,"Tu es à mes côtés, maintenant tout va bien."
What do you mean you don't know?!,"Comment ça, tu ne sais pas ? !"
You look stupid.,T'as l'air stupide.
You look stupid.,Tu as l'air stupide.
You look stupid.,Tu as l'air bête.
I think I'm gonna go to sleep.,Je pense que j'vais aller dormir.
My name is Jack.,Je m'appelle Jack.
My name is Jack.,Mon nom est Jacques.
I like it very much.,Ça me plaît beaucoup.
I like it very much.,Je l'aime beaucoup.
We're meeting up tomorrow?,On se voit demain ?
How do you say that in Italian?,Comment est-ce qu'on dit ça en italien ?
I have to go shopping. I'll be back in an hour.,"Je dois aller faire les courses, je reviens dans une heure."
Is it far from here?,C'est loin d'ici ?
These things aren't mine!,Ce ne sont pas mes affaires !
"Thanks, that's all.","Merci, c'est tout."
Would you like to dance with me?,Voudrais-tu danser avec moi ?
Italy is a very beautiful country.,L'Italie est un très beau pays.
It's not my fault!,Ce n'est pas ma faute !
I'd like to stay for one night.,J’aimerais rester pour une nuit.
Could you dial for me? The telephone is too high.,Pourriez-vous composer le numéro pour moi ? Le téléphone est placé trop haut.
Is there a youth hostel near here?,Est-ce qu'il y a une auberge de jeunesse près d'ici ?
Where are the showers?,Où sont les douches ?
Open your mouth!,Ouvrez la bouche !
Open your mouth!,Ouvre la bouche !
Is it bad?,C'est grave ?
I have lost my wallet.,J'ai perdu mon portefeuille.
Love is never wasted.,L'amour n'est jamais un gaspillage.
Life is what happens to you while you're busy making other plans.,La vie c'est ce qui se passe pendant que tu es occupé à faire d'autres plans.
Life is what happens to you while you're busy making other plans.,La vie c'est ce qui se passe pendant que tu es occupée à faire d'autres plans.
Life is what happens to you while you're busy making other plans.,La vie c'est ce qui se passe pendant que vous êtes occupé à faire d'autres plans.
Not wanting is the same as having.,Ne pas désirer équivaut à posséder.
He's very sexy.,Il est très sexy.
"Pass me the salt, please. ""Here you are.""",« Passez-moi le sel s'il vous plaît. » « Tenez. »
There are too many things to do!,Il y a trop de choses à faire !
"Come on, play with me, I'm so bored!","Allez, joue avec moi, j'm'ennuie trop !"
Don't you even think of eating my chocolate!,Ne songe même pas à manger mon chocolat !
Stop asking me for a drink! Go get it yourself.,Arrête de me demander à boire ! Va te servir toi-même.
Thanks to you I've lost my appetite.,Grâce à toi j'ai perdu mon appétit.
I really need to hit somebody.,J'ai vraiment besoin de frapper quelqu'un.
Who doesn't know this problem?!,Qui est-ce qui ne connaît pas ce problème ? !
Who doesn't know this problem?!,Qui ne connait pas ce problème !
It has been so long since I last went to Disneyland with my family.,Ça fait si longtemps depuis la dernière fois que je suis allée à Disneyland avec ma famille.
My parents keep arguing about stupid things. It's so annoying!,Mes parents n'arrêtent pas de se disputer sur des choses stupides. C'est tellement énervant !
"If you don't want to put on sunscreen, that's your problem. Just don't come complaining to me when you get a sunburn.","Si tu ne veux pas mettre de crème solaire c'est ton problème, mais ne viens pas te plaindre quand t'auras des coups de soleil."
"My friends always say I'm too calm, but my family always says I'm too annoying.","Mes amis disent toujours que je suis trop calme, mais ma famille dit toujours que je suis trop agaçante."
I hate those spiders. They're always there to freak me out when I'm cleaning.,"Je déteste ces araignées, elles sont toujours là pour me ficher la trouille quand j'fais le ménage."
So annoying... Now I get a headache whenever I use the computer!,Trop énervant... J'peux même plus utiliser un ordinateur sans avoir mal à la tête maintenant !
It's so hot that you could cook an egg on the hood of a car.,Il fait tellement chaud qu'on pourrait faire cuire des œufs sur le capot des voitures.
It is very hot today.,"Aujourd'hui, il fait très chaud."
It is very hot today.,Il fait très chaud aujourd'hui.
Nobody came.,Personne n'est venu.
Nobody came.,Personne ne vint.
I never saw a red fridge.,Je n'ai jamais vu de réfrigérateur rouge.
Better to be hated for who you are than loved for who you're not.,"Il vaut mieux être détesté pour ce que l'on est, qu'aimé pour ce que l'on n'est pas."
It's lonely in the saddle since the horse died.,L'écurie est bien vide depuis que le cheval est mort.
Mathematics is the part of science you could continue to do if you woke up tomorrow and discovered the universe was gone.,Les mathématiques sont la partie des sciences qu'on pourrait continuer à faire si on se réveillait demain et découvrait que l'univers avait disparu.
My eyes are an ocean in which my dreams are reflected.,Mes yeux sont un océan dans lequel se reflètent mes rêves.
"You know the phrase, we reap what we sow. I have sown the wind and this is my storm.","Vous connaissez la phrase, « on récolte ce que l’on sème. » Moi, j’ai semé le vent, maintenant voilà ma tempête."
Look at me when I talk to you!,Regarde-moi quand je te parle !
Look at me when I talk to you!,Regardez-moi quand je vous parle !
What would the world be without women?,Que serait le monde sans les femmes ?
What if you gave a speech and nobody came?,Et si tu faisais un discours et que personne ne venait ?
I don't know what to say to make you feel better.,Je ne sais pas quoi dire pour te consoler.
This is not my type.,Ce n'est pas mon type.
I was trying to kill time.,J'essayais de tuer le temps.
How did you come up with this crazy idea?,Comment en es-tu venu à cette idée folle ?
I'm tired.,Je suis fatigué !
I'm tired.,Je suis fatiguée.
I'm tired.,Je suis fatigué.
Who wants some hot chocolate?,Qui veut du chocolat chaud ?
"Speak more slowly, please!",Parlez plus lentement s'il vous plaît !
When do we arrive?,Dans combien de temps arrivons-nous ?
"The check, please.",L'addition s'il vous plaît.
"The check, please.","La note, s'il vous plaît."
And what are we going to do?,Et qu'est-ce que nous allons faire ?
And what are we going to do?,Et que ferons-nous ?
And what are we going to do?,Et qu'est-ce qu'on va faire ?
I have a headache.,J'ai mal à la tête.
I have a headache.,J’ai mal au crâne.
Where can one make a phone call?,Où peut-on téléphoner ?
